date,model,ticker,pred_len,portfolio_value,top_5_portfolio,least_5_portfolio,top_5_up,top_5_down,market,data_type,portfolio_ratio,Final Portfolio Value
2025-01-26,LSTM,ALL,1,123655.65071072851,"NVDA, TSLA, NFLX, GOOGL, AMD","AMD, META, GOOGL, AMZN, AAPL","AMZN, NFLX, INTC, GOOGL, TSLA","INTC, AAPL, AMZN, NVDA, TSLA",NASDAQ,general,"[0.74, 0.4, 0.43, 0.6, 0.14]",1.2366
2025-01-27,LSTM,ALL,20,185936.4977906312,"AMZN, META, NFLX, GOOGL, AAPL","AMZN, INTC, TSLA, NFLX, GOOGL","AAPL, AMD, GOOGL, META, INTC","AMZN, AAPL, MSFT, GOOGL, NVDA",NASDAQ,general,"[0.77, 0.3, 0.63, 0.15, 0.13]",1.8594
2025-01-28,LSTM,ALL,20,185936.4977906312,"NFLX, AMZN, META, MSFT, AAPL","AMZN, MSFT, AAPL, INTC, META","TSLA, NFLX, AAPL, AMZN, META","INTC, NFLX, AMD, AAPL, META",NASDAQ,general,"[0.7, 0.57, 0.41, 0.69, 0.63]",1.8594
2025-01-29,LSTM,ALL,20,185936.4977906312,"MSFT, NFLX, AMZN, GOOGL, AAPL","TSLA, AAPL, MSFT, AMD, INTC","AMD, NVDA, AMZN, NFLX, TSLA","NVDA, MSFT, AAPL, META, INTC",NASDAQ,general,"[0.29, 0.7, 0.84, 0.61, 0.24]",1.8594
2025-01-30,LSTM,ALL,20,185936.4977906312,"AAPL, MSFT, TSLA, AMD, META","TSLA, AMZN, AAPL, META, MSFT","AMZN, MSFT, AAPL, NVDA, AMD","NFLX, META, AMD, GOOGL, NVDA",NASDAQ,general,"[0.26, 0.24, 0.98, 0.46, 0.45]",1.8594
2025-01-31,LSTM,ALL,20,185936.4977906312,"AMD, AMZN, INTC, AAPL, META","AAPL, MSFT, AMD, TSLA, META","MSFT, NVDA, AMD, AAPL, META","NFLX, TSLA, AMZN, AMD, MSFT",NASDAQ,general,"[0.56, 0.06, 0.34, 0.73, 0.88]",1.8594
2025-02-01,LSTM,ALL,20,185936.4977906312,"NFLX, NVDA, AMZN, AMD, INTC","META, TSLA, AMD, AAPL, MSFT","MSFT, META, AMZN, INTC, GOOGL","MSFT, AMD, INTC, NVDA, GOOGL",NASDAQ,general,"[0.73, 0.05, 0.42, 0.69, 0.97]",1.8594
2025-02-02,LSTM,ALL,20,185936.4977906312,"MSFT, NVDA, AAPL, META, AMZN","AMD, META, GOOGL, AMZN, AAPL","TSLA, AAPL, META, AMZN, MSFT","NVDA, NFLX, META, AMD, GOOGL",NASDAQ,general,"[0.81, 0.97, 0.17, 0.73, 0.96]",1.8594
2025-02-03,LSTM,ALL,20,185936.4977906312,"GOOGL, NVDA, META, AMZN, AMD","NVDA, TSLA, INTC, NFLX, META","MSFT, INTC, AAPL, AMZN, TSLA","INTC, META, AMD, NVDA, NFLX",NASDAQ,general,"[0.01, 0.71, 0.44, 0.89, 0.33]",1.8594
2025-02-04,LSTM,ALL,20,185936.4977906312,"GOOGL, INTC, NVDA, AMD, NFLX","TSLA, META, INTC, AMD, GOOGL","AMZN, TSLA, NVDA, GOOGL, NFLX","NFLX, TSLA, AMZN, INTC, GOOGL",NASDAQ,general,"[0.81, 0.97, 0.17, 0.73, 0.96]",1.8594
